candidate_id,rank,score,reasoning
CAND_0055905,1,0.989999,"Senior Machine Learning Engineer at Flipkart with 8.1 years; direct search/ranking project evidence; 12 of 13 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.7, Skill Evidence 93.5, Career Physics 91.6."
CAND_0041610,2,0.945558,"Recommendation Systems Engineer at Zoho with 6.7 years; direct search/ranking project evidence; 15 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.8, Skill Evidence 91.6, Career Physics 90.0."
CAND_0010685,3,0.921254,"NLP Engineer at Rephrase.ai with 6.7 years; direct search/ranking project evidence; 14 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 94.6, Skill Evidence 90.0, Career Physics 86.6."
CAND_0008425,4,0.890215,"Senior NLP Engineer at Ola with 7.8 years; direct search/ranking project evidence; 13 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 96.2, Skill Evidence 83.4, Career Physics 95.2. Notice period is 90 days."
CAND_0041669,5,0.880612,"Recommendation Systems Engineer at CRED with 8.0 years; direct search/ranking project evidence; 16 of 20 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.2, Skill Evidence 86.0, Career Physics 90.7."
CAND_0011687,6,0.880279,"Senior NLP Engineer at Niramai with 7.8 years; direct search/ranking project evidence; 13 of 13 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 90.5, Skill Evidence 96.7, Career Physics 78.3."
CAND_0079387,7,0.879252,"AI Engineer at Microsoft with 6.9 years; direct search/ranking project evidence; 16 of 20 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.8, Skill Evidence 85.5, Career Physics 91.1."
CAND_0049538,8,0.846517,"Applied ML Engineer at Saarthi.ai with 5.8 years; direct search/ranking project evidence; 15 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.3, Skill Evidence 90.0, Career Physics 87.7. Not currently marked open to work."
CAND_0077285,9,0.843131,"Recommendation Systems Engineer at Nykaa with 5.5 years; direct search/ranking project evidence; 12 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 92.4, Skill Evidence 84.3, Career Physics 91.3."
CAND_0002025,10,0.842868,"Senior AI Engineer at Apple with 5.9 years; direct search/ranking project evidence; 17 of 20 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 90.3, Skill Evidence 86.9, Career Physics 87.2."
CAND_0095528,11,0.838178,"Senior Data Scientist at Netflix with 5.3 years; direct search/ranking project evidence; 13 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 87.3, Skill Evidence 86.9, Career Physics 91.7."
CAND_0030031,12,0.836805,"AI Engineer at Microsoft with 5.7 years; direct search/ranking project evidence; 13 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.2, Skill Evidence 85.4, Career Physics 89.8. Not currently marked open to work."
CAND_0053591,13,0.836038,"AI Engineer at Ola with 5.3 years; direct search/ranking project evidence; 12 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 91.8, Skill Evidence 87.8, Career Physics 85.1."
CAND_0011432,14,0.828543,"Senior Data Scientist at Amazon with 7.6 years; direct search/ranking project evidence; 12 of 15 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 96.3, Skill Evidence 85.7, Career Physics 83.9."
CAND_0068811,15,0.820757,"Applied ML Engineer at Freshworks with 8.0 years; direct search/ranking project evidence; 14 of 19 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.9, Skill Evidence 81.4, Career Physics 92.0."
CAND_0074225,16,0.809863,"Machine Learning Engineer at Unacademy with 4.3 years; direct search/ranking project evidence; 14 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 89.5, Skill Evidence 84.8, Career Physics 86.7. Notice period is 120 days."
CAND_0099401,17,0.807376,"NLP Engineer at Dream11 with 7.7 years; direct search/ranking project evidence; 11 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.2, Skill Evidence 83.7, Career Physics 91.8. Notice period is 90 days."
CAND_0032515,18,0.803690,"Machine Learning Engineer at PharmEasy with 5.1 years; direct search/ranking project evidence; 12 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 94.0, Skill Evidence 84.9, Career Physics 88.2. Not currently marked open to work."
CAND_0043228,19,0.795145,"Applied ML Engineer at Zoho with 6.8 years; direct search/ranking project evidence; 14 of 18 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.3, Skill Evidence 83.2, Career Physics 92.4. Not currently marked open to work."
CAND_0045250,20,0.794108,"Applied ML Engineer at Rephrase.ai with 6.6 years; direct search/ranking project evidence; 15 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 88.2, Skill Evidence 88.2, Career Physics 84.5. Not currently marked open to work."
CAND_0098846,21,0.788434,"AI Engineer at upGrad with 7.6 years; direct search/ranking project evidence; 12 of 18 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 94.5, Skill Evidence 76.4, Career Physics 92.4."
CAND_0018499,22,0.776279,"Senior Machine Learning Engineer at Zomato with 7.2 years; direct search/ranking project evidence; 15 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.9, Skill Evidence 91.6, Career Physics 66.2."
CAND_0030468,23,0.774832,"Senior Applied Scientist at Swiggy with 5.4 years; direct search/ranking project evidence; 12 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 94.8, Skill Evidence 88.9, Career Physics 74.8."
CAND_0037980,24,0.765652,"Senior Applied Scientist at Niramai with 9.0 years; direct search/ranking project evidence; 18 of 21 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.8, Skill Evidence 88.5, Career Physics 68.0."
CAND_0066999,25,0.764355,"Recommendation Systems Engineer at Microsoft with 5.9 years; direct search/ranking project evidence; 11 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 90.5, Skill Evidence 79.3, Career Physics 89.2."
CAND_0028793,26,0.759929,"Search Engineer at Google with 7.2 years; direct search/ranking project evidence; 12 of 15 claimed skills supported. Ensemble scores: WorkDNA 95.0, Skill Evidence 85.3, Career Physics 78.1. Notice period is 120 days."
CAND_0024620,27,0.754943,"AI Engineer at PharmEasy with 5.9 years; direct search/ranking project evidence; 12 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 89.2, Skill Evidence 80.0, Career Physics 84.8."
CAND_0064326,28,0.753108,"Search Engineer at Sarvam AI with 7.6 years; direct search/ranking project evidence; 10 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 100.0, Skill Evidence 81.4, Career Physics 72.9."
CAND_0042100,29,0.752080,"Machine Learning Engineer at Freshworks with 7.3 years; direct search/ranking project evidence; 10 of 13 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 94.8, Skill Evidence 83.2, Career Physics 78.4. Notice period is 90 days."
CAND_0006418,30,0.747019,"Machine Learning Engineer at Verloop.io with 5.7 years; direct search/ranking project evidence; 12 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 92.1, Skill Evidence 81.0, Career Physics 81.7."
CAND_0061257,31,0.746537,"Staff Machine Learning Engineer at LinkedIn with 8.0 years; direct search/ranking project evidence; 12 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 94.2, Skill Evidence 81.7, Career Physics 78.5."
CAND_0037944,32,0.739235,"Senior Data Scientist at Vedantu with 4.9 years; direct search/ranking project evidence; 14 of 18 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 90.6, Skill Evidence 82.3, Career Physics 84.0."
CAND_0039383,33,0.733682,"Applied ML Engineer at Meesho with 7.1 years; direct search/ranking project evidence; 14 of 16 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 97.8, Skill Evidence 91.1, Career Physics 63.4. Notice period is 90 days."
CAND_0030953,34,0.726502,"Search Engineer at Nykaa with 7.8 years; direct search/ranking project evidence; 12 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.1, Skill Evidence 89.7, Career Physics 71.5. Not currently marked open to work."
CAND_0091909,35,0.721649,"Machine Learning Engineer at Rephrase.ai with 6.9 years; direct search/ranking project evidence; 10 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.3, Skill Evidence 79.1, Career Physics 83.9."
CAND_0015528,36,0.718021,"Applied ML Engineer at Krutrim with 7.4 years; direct search/ranking project evidence; 12 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 91.2, Skill Evidence 77.8, Career Physics 89.1. Not currently marked open to work."
CAND_0051292,37,0.712665,"Applied ML Engineer at Freshworks with 5.2 years; direct search/ranking project evidence; 14 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 92.8, Skill Evidence 97.5, Career Physics 72.0."
CAND_0093912,38,0.707922,"Senior Data Scientist at Razorpay with 5.3 years; direct search/ranking project evidence; 8 of 13 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 97.2, Skill Evidence 74.0, Career Physics 81.9."
CAND_0077337,39,0.707342,"Staff Machine Learning Engineer at Paytm with 7.0 years; direct search/ranking project evidence; 13 of 20 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 99.5, Skill Evidence 77.1, Career Physics 72.9."
CAND_0039521,40,0.697887,"Search Engineer at Salesforce with 3.0 years; direct search/ranking project evidence; 15 of 19 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 84.0, Skill Evidence 80.7, Career Physics 83.7. Not currently marked open to work."
CAND_0036863,41,0.690873,"Senior Data Scientist at upGrad with 4.3 years; direct search/ranking project evidence; 10 of 10 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.2, Skill Evidence 98.3, Career Physics 67.5."
CAND_0005649,42,0.689484,"Senior Data Scientist at Sarvam AI with 7.4 years; direct search/ranking project evidence; 15 of 17 claimed skills supported. Ensemble scores: WorkDNA 93.3, Skill Evidence 90.0, Career Physics 60.9. Notice period is 90 days."
CAND_0071974,43,0.687344,"Senior AI Engineer at Netflix with 7.8 years; direct search/ranking project evidence; 16 of 19 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 95.1, Skill Evidence 88.0, Career Physics 60.3."
CAND_0068351,44,0.682075,"Lead AI Engineer at Sarvam AI with 6.4 years; direct search/ranking project evidence; 16 of 19 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 92.9, Skill Evidence 87.2, Career Physics 64.5. Not currently marked open to work."
CAND_0042029,45,0.669038,"Senior Data Scientist at Flipkart with 6.5 years; direct search/ranking project evidence; 13 of 18 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 91.1, Skill Evidence 78.8, Career Physics 83.4. Not currently marked open to work."
CAND_0099806,46,0.661186,"AI Engineer at Mad Street Den with 4.6 years; direct search/ranking project evidence; 13 of 18 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 93.2, Skill Evidence 79.5, Career Physics 70.0."
CAND_0075574,47,0.653863,"Machine Learning Engineer at Haptik with 5.7 years; direct search/ranking project evidence; 11 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 94.0, Skill Evidence 77.6, Career Physics 71.6."
CAND_0076163,48,0.651938,"NLP Engineer at Ola with 6.9 years; direct search/ranking project evidence; 12 of 17 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 97.7, Skill Evidence 80.1, Career Physics 66.5."
CAND_0092278,49,0.648723,"Senior NLP Engineer at Microsoft with 6.8 years; direct search/ranking project evidence; 13 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 88.9, Skill Evidence 80.8, Career Physics 74.6. Notice period is 90 days."
CAND_0076904,50,0.640848,"Senior Data Scientist at Nykaa with 4.2 years; direct search/ranking project evidence; 14 of 18 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 90.7, Skill Evidence 82.3, Career Physics 85.6. Notice period is 90 days."
CAND_0011162,51,0.628897,"Recommendation Systems Engineer at upGrad with 5.8 years; direct search/ranking project evidence; 11 of 17 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 96.3, Skill Evidence 75.8, Career Physics 70.2. Notice period is 90 days."
CAND_0060072,52,0.627149,"Staff Machine Learning Engineer at Amazon with 5.7 years; direct search/ranking project evidence; 17 of 20 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 89.4, Skill Evidence 86.5, Career Physics 66.2. Notice period is 90 days."
CAND_0081686,53,0.624969,"Search Engineer at Netflix with 6.0 years; direct search/ranking project evidence; 14 of 18 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 95.2, Skill Evidence 83.9, Career Physics 83.4. Not currently marked open to work."
CAND_0052335,54,0.615770,"Applied ML Engineer at Aganitha with 6.4 years; direct search/ranking project evidence; 10 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 88.6, Skill Evidence 77.4, Career Physics 87.5."
CAND_0061339,55,0.607154,"Search Engineer at Rephrase.ai with 4.2 years; direct search/ranking project evidence; 7 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 96.1, Skill Evidence 66.1, Career Physics 82.6. Notice period is 90 days."
CAND_0041568,56,0.600787,"Search Engineer at Haptik with 5.2 years; direct search/ranking project evidence; 15 of 18 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 94.0, Skill Evidence 87.1, Career Physics 72.8. Notice period is 90 days."
CAND_0006567,57,0.599696,"Senior AI Engineer at Meta with 7.9 years; production ML/project evidence; 15 of 20 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.1, Skill Evidence 82.7, Career Physics 59.0."
CAND_0075249,58,0.599657,"Applied ML Engineer at Zomato with 6.2 years; direct search/ranking project evidence; 10 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 92.7, Skill Evidence 78.9, Career Physics 84.9."
CAND_0054123,59,0.599088,"Applied ML Engineer at Meta with 4.7 years; direct search/ranking project evidence; 12 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 91.3, Skill Evidence 83.9, Career Physics 85.3. Not currently marked open to work."
CAND_0078002,60,0.597711,"Machine Learning Engineer at Meta with 6.3 years; direct search/ranking project evidence; 14 of 16 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 96.8, Skill Evidence 90.8, Career Physics 45.8."
CAND_0081846,61,0.594925,"Lead AI Engineer at Razorpay with 6.7 years; direct search/ranking project evidence; 16 of 18 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 96.2, Skill Evidence 91.4, Career Physics 43.2."
CAND_0065878,62,0.591078,"Senior Data Scientist at Niramai with 7.8 years; direct search/ranking project evidence; 13 of 15 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 94.6, Skill Evidence 89.4, Career Physics 63.8."
CAND_0036437,63,0.586888,"Search Engineer at Rephrase.ai with 4.8 years; direct search/ranking project evidence; 8 of 12 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.2, Skill Evidence 76.7, Career Physics 68.0. Not currently marked open to work."
CAND_0094056,64,0.583646,"NLP Engineer at Rephrase.ai with 5.9 years; direct search/ranking project evidence; 13 of 18 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 83.9, Skill Evidence 76.3, Career Physics 84.5. Notice period is 120 days."
CAND_0058575,65,0.580895,"AI Engineer at Krutrim with 5.8 years; direct search/ranking project evidence; 8 of 12 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 86.3, Skill Evidence 73.5, Career Physics 80.4. Notice period is 90 days."
CAND_0007411,66,0.580062,"Senior Machine Learning Engineer at Amazon with 8.0 years; direct search/ranking project evidence; 10 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 86.3, Skill Evidence 76.6, Career Physics 77.0. Not currently marked open to work."
CAND_0053695,67,0.578202,"Recommendation Systems Engineer at Meesho with 5.8 years; direct search/ranking project evidence; 10 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.8, Skill Evidence 76.8, Career Physics 62.1."
CAND_0078492,68,0.573399,"Recommendation Systems Engineer at Verloop.io with 5.1 years; direct search/ranking project evidence; 14 of 17 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 92.5, Skill Evidence 85.9, Career Physics 67.0."
CAND_0070398,69,0.567293,"Machine Learning Engineer at Genpact AI with 7.2 years; direct search/ranking project evidence; 13 of 16 claimed skills supported. Ensemble scores: WorkDNA 92.6, Skill Evidence 85.2, Career Physics 52.3. Notice period is 120 days."
CAND_0052682,70,0.566132,"NLP Engineer at Aganitha with 6.6 years; direct search/ranking project evidence; 10 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 89.3, Skill Evidence 74.6, Career Physics 88.2."
CAND_0076251,71,0.563255,"Search Engineer at Haptik with 7.6 years; direct search/ranking project evidence; 10 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 89.2, Skill Evidence 71.8, Career Physics 82.0."
CAND_0014440,72,0.561820,"Recommendation Systems Engineer at CRED with 6.4 years; direct search/ranking project evidence; 7 of 12 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.6, Skill Evidence 72.1, Career Physics 65.6."
CAND_0005538,73,0.559896,"Senior AI Engineer at Adobe with 5.9 years; direct search/ranking project evidence; 17 of 19 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 95.5, Skill Evidence 91.6, Career Physics 40.5. Notice period is 90 days."
CAND_0022812,74,0.555638,"Applied ML Engineer at Dream11 with 4.5 years; direct search/ranking project evidence; 13 of 19 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.2, Skill Evidence 77.1, Career Physics 63.6. Not currently marked open to work."
CAND_0040117,75,0.551897,"Recommendation Systems Engineer at PhonePe with 6.5 years; direct search/ranking project evidence; 8 of 12 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 87.9, Skill Evidence 74.1, Career Physics 87.4."
CAND_0031593,76,0.545569,"Search Engineer at Genpact AI with 7.8 years; direct search/ranking project evidence; 13 of 16 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 92.9, Skill Evidence 85.3, Career Physics 66.4. Notice period is 90 days."
CAND_0000031,77,0.545074,"Recommendation Systems Engineer at Swiggy with 6.0 years; direct search/ranking project evidence; 13 of 17 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 99.0, Skill Evidence 84.4, Career Physics 42.3."
CAND_0061265,78,0.542391,"Recommendation Systems Engineer at Zoho with 6.6 years; direct search/ranking project evidence; 10 of 16 claimed skills supported. Ensemble scores: WorkDNA 95.6, Skill Evidence 74.1, Career Physics 61.0. Notice period is 120 days."
CAND_0092245,79,0.535023,"Senior Data Scientist at Ola with 4.1 years; direct search/ranking project evidence; 13 of 17 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 82.1, Skill Evidence 78.4, Career Physics 68.3."
CAND_0051630,80,0.533003,"Machine Learning Engineer at Razorpay with 6.0 years; direct search/ranking project evidence; 13 of 18 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 91.2, Skill Evidence 78.9, Career Physics 83.2. Notice period is 90 days."
CAND_0053527,81,0.531107,"Junior ML Engineer at PhonePe with 7.0 years; direct search/ranking project evidence; 8 of 9 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 73.1, Skill Evidence 83.4, Career Physics 85.4. Notice period is 90 days."
CAND_0066376,82,0.520925,"Applied ML Engineer at Dream11 with 5.7 years; direct search/ranking project evidence; 11 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 89.1, Skill Evidence 73.3, Career Physics 85.3. Notice period is 90 days."
CAND_0086022,83,0.518449,"Senior Applied Scientist at Sarvam AI with 5.3 years; direct search/ranking project evidence; 14 of 19 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 93.3, Skill Evidence 80.6, Career Physics 68.7."
CAND_0040887,84,0.509964,"Machine Learning Engineer at Netflix with 4.7 years; direct search/ranking project evidence; 9 of 12 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 84.5, Skill Evidence 78.3, Career Physics 81.4."
CAND_0046064,85,0.507861,"Senior NLP Engineer at Salesforce with 8.9 years; direct search/ranking project evidence; 14 of 16 claimed skills supported. Ensemble scores: WorkDNA 93.8, Skill Evidence 89.7, Career Physics 32.6."
CAND_0093193,86,0.507489,"Senior Machine Learning Engineer at Niramai with 7.9 years; production ML/project evidence; 15 of 19 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 91.9, Skill Evidence 83.5, Career Physics 69.3."
CAND_0029367,87,0.504662,"Senior Data Scientist at Rephrase.ai with 5.7 years; direct search/ranking project evidence; 15 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 90.4, Skill Evidence 89.0, Career Physics 64.8. Notice period is 90 days."
CAND_0017960,88,0.503938,"Recommendation Systems Engineer at Nykaa with 7.7 years; direct search/ranking project evidence; 7 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.7, Skill Evidence 66.7, Career Physics 64.9."
CAND_0079064,89,0.498533,"Senior Data Scientist at Niramai with 5.2 years; direct search/ranking project evidence; 10 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 87.2, Skill Evidence 77.0, Career Physics 84.0. Notice period is 120 days."
CAND_0083879,90,0.496267,"Machine Learning Engineer at Ola with 7.1 years; direct search/ranking project evidence; 9 of 10 claimed skills supported. Ensemble scores: WorkDNA 96.2, Skill Evidence 92.2, Career Physics 30.9."
CAND_0065195,91,0.484763,"Search Engineer at CRED with 5.1 years; retrieval/RAG delivery evidence; 12 of 13 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 79.2, Skill Evidence 87.7, Career Physics 68.2."
CAND_0057701,92,0.473567,"Recommendation Systems Engineer at Verloop.io with 4.1 years; direct search/ranking project evidence; 13 of 17 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 81.2, Skill Evidence 78.1, Career Physics 60.8. Notice period is 120 days."
CAND_0020877,93,0.473064,"Applied ML Engineer at CRED with 5.1 years; direct search/ranking project evidence; 15 of 18 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 85.5, Skill Evidence 84.1, Career Physics 79.2. Not currently marked open to work."
CAND_0094759,94,0.469769,"Lead AI Engineer at Meta with 8.6 years; direct search/ranking project evidence; 12 of 16 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 90.8, Skill Evidence 80.5, Career Physics 70.7. Not currently marked open to work."
CAND_0088025,95,0.463855,"Staff Machine Learning Engineer at Yellow.ai with 8.6 years; direct search/ranking project evidence; 14 of 19 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 94.8, Skill Evidence 81.1, Career Physics 57.3. Notice period is 90 days."
CAND_0057563,96,0.459129,"NLP Engineer at Locobuzz with 6.8 years; direct search/ranking project evidence; 10 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.1, Skill Evidence 79.7, Career Physics 67.7. Not currently marked open to work."
CAND_0015967,97,0.456115,"Senior Software Engineer (ML) at Razorpay with 5.4 years; direct search/ranking project evidence; 13 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 76.1, Skill Evidence 76.3, Career Physics 85.5."
CAND_0069905,98,0.453722,"Applied ML Engineer at Sarvam AI with 6.6 years; direct search/ranking project evidence; 14 of 17 claimed skills supported. Ensemble scores: WorkDNA 91.1, Skill Evidence 85.4, Career Physics 62.2. Notice period is 90 days."
CAND_0007412,99,0.452759,"Applied ML Engineer at Zoho with 7.4 years; direct search/ranking project evidence; 10 of 12 claimed skills supported. Ensemble scores: WorkDNA 99.9, Skill Evidence 89.1, Career Physics 25.4. Notice period is 120 days."
CAND_0030827,100,0.449900,"Senior Data Scientist at Freshworks with 5.4 years; direct search/ranking project evidence; 9 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 91.5, Skill Evidence 68.6, Career Physics 80.8. Notice period is 120 days."
